trade_date,signal_datetime_et,family,futures_root,available_report_date,as_of_date,official_release_datetime_et,cftc_contract_market_code,leveraged_money_net_pct_oi,leveraged_money_crowding_percentile,crowding_observation_count,crowding_eligible,quality_status
2011-01-01,2011-01-01T13:00:00,SP500,ES,2010-12-21,2010-12-21,2010-12-27T15:30:00-05:00,13874A,-0.10491457219591618,,23,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-01,2011-01-01T13:00:00,NASDAQ100,NQ,2010-12-21,2010-12-21,2010-12-27T15:30:00-05:00,209742,0.2856260586709838,,23,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-01,2011-01-01T13:00:00,RUSSELL2000,RTY,2010-12-21,2010-12-21,2010-12-27T15:30:00-05:00,23977A,-0.1395537408338034,,23,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-02,2011-01-02T13:00:00,SP500,ES,2010-12-21,2010-12-21,2010-12-27T15:30:00-05:00,13874A,-0.10491457219591618,,23,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-02,2011-01-02T13:00:00,NASDAQ100,NQ,2010-12-21,2010-12-21,2010-12-27T15:30:00-05:00,209742,0.2856260586709838,,23,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-02,2011-01-02T13:00:00,RUSSELL2000,RTY,2010-12-21,2010-12-21,2010-12-27T15:30:00-05:00,23977A,-0.1395537408338034,,23,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-03,2011-01-03T13:00:00,SP500,ES,2010-12-21,2010-12-21,2010-12-27T15:30:00-05:00,13874A,-0.10491457219591618,,23,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-03,2011-01-03T13:00:00,NASDAQ100,NQ,2010-12-21,2010-12-21,2010-12-27T15:30:00-05:00,209742,0.2856260586709838,,23,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-03,2011-01-03T13:00:00,RUSSELL2000,RTY,2010-12-21,2010-12-21,2010-12-27T15:30:00-05:00,23977A,-0.1395537408338034,,23,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-04,2011-01-04T13:00:00,SP500,ES,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,13874A,-0.11441387453684063,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-04,2011-01-04T13:00:00,NASDAQ100,NQ,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,209742,0.2576246438636272,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-04,2011-01-04T13:00:00,RUSSELL2000,RTY,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,23977A,-0.14954691516709512,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-05,2011-01-05T13:00:00,SP500,ES,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,13874A,-0.11441387453684063,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-05,2011-01-05T13:00:00,NASDAQ100,NQ,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,209742,0.2576246438636272,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-05,2011-01-05T13:00:00,RUSSELL2000,RTY,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,23977A,-0.14954691516709512,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-06,2011-01-06T13:00:00,SP500,ES,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,13874A,-0.11441387453684063,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-06,2011-01-06T13:00:00,NASDAQ100,NQ,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,209742,0.2576246438636272,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-06,2011-01-06T13:00:00,RUSSELL2000,RTY,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,23977A,-0.14954691516709512,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-07,2011-01-07T13:00:00,SP500,ES,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,13874A,-0.11441387453684063,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-07,2011-01-07T13:00:00,NASDAQ100,NQ,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,209742,0.2576246438636272,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-07,2011-01-07T13:00:00,RUSSELL2000,RTY,2010-12-28,2010-12-28,2011-01-03T15:30:00-05:00,23977A,-0.14954691516709512,,24,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-08,2011-01-08T13:00:00,SP500,ES,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,13874A,-0.10566846579862417,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-08,2011-01-08T13:00:00,NASDAQ100,NQ,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,209742,0.2023263657573232,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-08,2011-01-08T13:00:00,RUSSELL2000,RTY,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,23977A,-0.12512614476373085,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-09,2011-01-09T13:00:00,SP500,ES,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,13874A,-0.10566846579862417,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-09,2011-01-09T13:00:00,NASDAQ100,NQ,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,209742,0.2023263657573232,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-09,2011-01-09T13:00:00,RUSSELL2000,RTY,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,23977A,-0.12512614476373085,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-10,2011-01-10T13:00:00,SP500,ES,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,13874A,-0.10566846579862417,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-10,2011-01-10T13:00:00,NASDAQ100,NQ,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,209742,0.2023263657573232,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-10,2011-01-10T13:00:00,RUSSELL2000,RTY,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,23977A,-0.12512614476373085,,25,False,INSUFFICIENT_104_WEEK_HISTORY
2011-01-11,2011-01-11T13:00:00,SP500,ES,2011-01-04,2011-01-04,2011-01-07T15:30:00-05:00,13874A,-0.10566846579862417,,25,False,INSUFFICIENT_104_WEEK_HISTORY
