date,family,futures_root,fund_count,expected_fund_count,total_prior_day_aum,rebalance_coefficient_t1,rebalance_coefficient_t2,prior_day_date,second_prior_day_date,contributing_tickers,data_quality,source_version
2011-01-03,NASDAQ100,NQ,5,5,1856943928.86,7266737760.69,7237731966.24,2010-12-31,2010-12-30,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-03,RUSSELL2000,RTY,5,5,870801932.21,3369017737.17,3348802253.24,2010-12-31,2010-12-30,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-03,SP500,ES,5,5,5643904442.77,23196111898.19,23305958398.67,2010-12-31,2010-12-30,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-04,NASDAQ100,NQ,5,5,1862948684.58,7192894285.77,7266737760.69,2011-01-03,2010-12-31,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-04,RUSSELL2000,RTY,5,5,871743189.83,3323224274.70,3369017737.17,2011-01-03,2010-12-31,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-04,SP500,ES,5,5,5584547234.52,22821563502.75,23196111898.19,2011-01-03,2010-12-31,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-05,NASDAQ100,NQ,5,5,1862385134.10,7198194983.52,7192894285.77,2011-01-04,2011-01-03,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-05,RUSSELL2000,RTY,5,5,889002182.94,3497653239.79,3323224274.70,2011-01-04,2011-01-03,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-05,SP500,ES,5,5,5639414819.51,22959146670.15,22821563502.75,2011-01-04,2011-01-03,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-06,NASDAQ100,NQ,5,5,1869212137.25,7171023997.84,7198194983.52,2011-01-05,2011-01-04,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-06,RUSSELL2000,RTY,5,5,884884687.74,3440890263.53,3497653239.79,2011-01-05,2011-01-04,RWM;SRTY;TWM;URTY;UWM,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-06,SP500,ES,5,5,5635364993.79,22872641028.77,22959146670.15,2011-01-05,2011-01-04,SDS;SH;SPXU;SSO;UPRO,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
2011-01-07,NASDAQ100,NQ,5,5,1865672438.46,7188980803.53,7171023997.84,2011-01-06,2011-01-05,PSQ;QID;QLD;SQQQ;TQQQ,PASS_EXACT_T1_T2,CEF_STAGE4A_PROSHARES_SHA256_8dbdfcf4f13861de
